 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.25000,
 2000000, 0.73000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.02000,
 1000000, 0.14000,
 2000000, 0.28000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.16000,
 2000000, 0.33000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.02000,
 1000000, 0.25000,
 2000000, 0.73000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.14000,
 2000000, 0.28000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.16000,
 2000000, 0.34000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.25000,
 2000000, 0.74000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.14000,
 2000000, 0.28000,
 1000, 0.00000,
 10000, 0.00000,
 100000, 0.01000,
 1000000, 0.16000,
 2000000, 0.33000,

